ph,es_dia
23.05,1
23.05,1
23.05,1
23.43,1
23.43,1
23.43,1
23.81,1
23.81,1
23.81,1
24.16,1
24.16,1
24.16,1
24.67,1
24.67,1
24.67,1
25.24,1
25.24,1
25.24,1
26.039,1
26.039,1
26.039,1
26.41,1
26.41,1
26.41,1
26.859,1
26.859,1
26.859,1
27.519,1
27.519,1
27.519,1
28.039,1
28.039,1
28.039,1
28.38,1
28.38,1
28.38,1
28.23,1
28.23,1
28.23,1
28.31,1
28.31,1
28.31,1
28.09,1
28.09,1
28.09,1
27.84,1
27.84,1
27.84,1
27.619,1
27.619,1
27.619,1
27.599,1
27.599,1
27.599,1
27.74,1
27.74,1
27.74,1
28.039,1
28.039,1
28.039,1
28.5,1
28.5,1
28.5,1
28.38,1
28.38,1
28.38,1
27.89,1
27.89,1
27.89,1
27.279,1
27.279,1
26.83,1
26.83,1
26.83,1
26.59,1
26.59,1
26.59,1
26.609,1
26.609,1
26.609,1
26.609,1
26.609,1
26.609,1
26.41,1
26.41,1
26.41,1
26.039,1
26.039,1
26.039,1
25.74,1
25.74,1
25.74,1
25.24,1
25.24,1
25.24,1
24.67,1
24.67,1
24.67,1
24.92,1
24.92,1
25.89,1
25.89,1
25.89,1
26.41,1
26.41,1
26.14,1
25.789,1
25.789,1
25.789,1
